angle
197.585
232.432
60.9299
120.373
261.656
46.2105
71.8332
59.2099
120.463
227.711
274.093
261.666
253.503
49.1245
249.458
281.702
49.2305
237.191
253.117
60.4053
65.5771
196.834
40.9475
196.536
93.2869
279.334
51.7161
71.6849
67.6487
193.168
263.372
359.992
273.403
273.681
49.4496
197.013
236.742
299.458
229.896
195.757
240.448
198.084
241.652
242.007
269.006
235.493
60.5075
286.559
60.4505
60.3203
242.01
209.965
79.5881
55.8039
242.194
251.806
68.3157
68.3708
71.2958
235.033
60.4212
60.4494
86.9468
248.147
270.777
198.382
232.481
185.104
243.266
243.568
271.367
60.4419
238.668
88.5102
194.96
63.1319
222.833
221.581
242.53
270.232
263.534
178.044
236.006
56.2058
271.749
152.178
64.307
60.3462
196.138
271.987
237.416
196.897
236.78
262.981
236.904
251.148
270.311
289.154
325.045
60.3035
285.866
69.4352
359.385
228.392
258.864
223.659
153.455
246.041
59.6284
211.43
306.391
349.61
235.572
238.326
250.172
72.0433
65.7227
250.177
70.692
189.824
244.144
197.423
60.2743
87.0476
93.8
93.7189
246.704
235.695
235.65
241.313
61.0492
354.143
64.6227
233.767
343.827
138.008
272.254
292.822
54.4479
54.5038
241.977
287.292
60.3586
235.842
195.256
248.683
244.704
251.16
246.174
278.163
223.276
60.3922
60.4085
60.3741
61.0648
243.86
237.955
239.543
236.773
236.834
61.3153
195.056
276.657
92.6375
235.514
257.324
196.139
119.003
243.827
79.6077
71.63
283.773
43.5908
43.5093
43.4381
230.03
52.115
230.879
277.052
70.9866
141.747
257.043
190.895
264.472
243.176
59.929
60.5474
60.4439
199.081
196.005
196.109
278.683
286.439
83.0032
78.6625
85.4849
84.652
86.6211
85.2441
231.372
84.3989
267.379
200.168
68.6575
72.9438
238.841
64.7721
89.3215
89.9329
275.096
87.5596
241.115
197.641
152
160.396
92.1722
275.537
62.1513
243.079
74.3211
137.829
266.046
192.882
80.2507
182.337
72.3222
238.972
64.4165
88.465
240.21
89.2853
271.726
241.26
294.565
85.1256
198.172
240.928
234.457
237.025
251.318
236.53
254.631
254.738
237.701
83.7729
56.4362
94.8224
199.264
262.065
285.439
271.937
271.965
60.3336
66.7713
257.341
242.265
227.959
253.758
254.201
270.229
243.642
265.267
243.695
243.384
243.53
62.4581
245.872
263.267
194.71
288.811
244.191
245.558
133.108
15.5582
194.203
250.395
232.062
259.026
237.074
258.237
56.5112
243.724
67.8646
54.6691
221.215
194.519
274.391
246.645
289.457
281.964
276.929
344.054
358.152
54.6544
273.802
118.179
60.3015
60.4853
83.9795
246.71
136.582
190.638
282.987
243.389
53.4962
233.972
78.4497
58.6999
248.012
262.596
253.285
80.3985
278.45
266.076
119.312
60.2861
196.831
237.075
70.6053
247.457
197.529
197.349
69.4099
243.798
234.454
55.9763
213.247
259.134
235.673
86.2747
54.9374
55.0532
253.452
248.158
198.277
88.6631
89.6282
235.372
